Cp1252,,
Domain,UniqueName,visibleOnUI
unspsc,14111537,true
unspsc,14111601,true
unspsc,14111604,true
unspsc,14111605,true
unspsc,14111606,true
unspsc,14111607,true
unspsc,14111608,true
unspsc,14111609,true
unspsc,14111610,true
unspsc,14111611,true
unspsc,14111701,true
unspsc,14111702,true
unspsc,14111703,true
unspsc,14111704,true
unspsc,14111705,true
unspsc,14111706,true
unspsc,14111801,true
unspsc,14111802,true
unspsc,14111803,true
unspsc,14111805,true
unspsc,14111806,true
unspsc,14111807,true
unspsc,14111808,true
unspsc,14111809,true
unspsc,14111810,true
unspsc,14111811,true
unspsc,14111812,true
unspsc,14111813,true
unspsc,14111814,true
unspsc,14111815,true
unspsc,14111818,true
unspsc,14121503,true
unspsc,14121504,true
unspsc,14121603,true
unspsc,14121605,true
unspsc,14121701,true
unspsc,14121803,true
unspsc,14121805,true
unspsc,14121806,true
unspsc,14121807,true
unspsc,14121809,true
unspsc,14121810,true
unspsc,14121812,true
unspsc,14121902,true
unspsc,14121904,true
unspsc,14122102,true
unspsc,15101501,true
unspsc,15101502,true
unspsc,15101505,true
unspsc,15101506,true
unspsc,15101508,true
unspsc,15101509,true
unspsc,15101510,true
unspsc,15101607,true
unspsc,15101701,true
unspsc,15111501,true
unspsc,15111502,true
unspsc,15111503,true
unspsc,15111504,true
unspsc,15111505,true
unspsc,15111506,true
unspsc,15111508,true
unspsc,15111510,true
unspsc,15111702,true
unspsc,15121501,true
unspsc,15121502,true
unspsc,15121503,true
unspsc,15121504,true
unspsc,15121505,true
unspsc,15121508,true
unspsc,15121509,true
unspsc,15121510,true
unspsc,15121511,true
unspsc,15121512,true
unspsc,15121513,true
unspsc,15121514,true
unspsc,15121515,true
unspsc,15121516,true
unspsc,15121517,true
unspsc,15121520,true
unspsc,15121521,true
unspsc,15121525,true
unspsc,15121527,true
unspsc,15121801,true
