"UTF-8"
UniqueName,Name
IM_CGM_US_1100,Invoice Manager (1100)
IM_CGM_US_1000,Invoice Manager (1000)
IM_CGM_US_1200,Invoice Manager (1200)
IM_CGM_US_1400,Invoice Manager (1400)
IM_CGM_US_1010,Invoice Manager (1010)
AP_CGM_US_1100,Accounts Payable Approver (1100)
AP_CGM_US_1200,Accounts Payable Approver (1200)
AP_CGM_US_1000,Accounts Payable Approver (1000)
AP_CGM_US_1400,Accounts Payable Approver (1400)
AP_CGM_US_1010,Accounts Payable Approver (1010)
IP_CGM_US,Indirect Purchasing (CGM-US)
PA_CGM_US,PreApprover (CGM-US)
CR_CBS_CN_WJ00_WJ07,Central Receiving-CCMC Powertrain
HM_MACH1_US_1000_1150,Hazmat Approver 1150
CR_MACH1_US_1000_1150,Central Receiver 1150
TM_MACH1_US_1000_1150,Tax Manager (1150)
IP_MACH1_US_1445,IP_MACH1_US_1445
HM_MACH1_PA_1935,HazMat Approver 1935
IP_MACH1_PA_1935,IP_MACH1_PA_1935
HM_MACH1_PA_1765,HazMat Approver 1765
IP_MACH1_PA_1765,IP_MACH1_PA_1765
IP_MACH1_PA_1895,IP_MACH1_PA_1895
HM_MACH1_US_1445,HazMat Approver 1445
HM_MACH1_US_1895,HazMat Approver 1895
PA_MACH1_US_1445,PreApprovers_1445
PA_MACH1_PA_1765,PreApprovers_1765
PA_MACH1_US_1895,PreApprovers_1895
PA_MACH1_PA_1935,PreApprovers_1935
TM_CGM_US_1000,CGM US Tax Manager 1000
TM_CGM_US_1010,CGM US Tax Manager 1010
TM_CGM_US_1100,CGM US Tax Manager 1100
TM_CGM_US_1200,CGM US Tax Manager 1200
TM_CGM_US_1400,CGM US Tax Manager 1400
"IP_MACH1_US_1000_UJ00","IP_MACH1_US_1000_UJ00"
"IP_MACH1_US_1000_UJ01","IP_MACH1_US_1000_UJ01"
"IP_MACH1_US_1000_UJ02","IP_MACH1_US_1000_UJ02"
"Transaction Center (mfg1)","Transaction Center (Perkins-UK)"
IA_MACH1_PL_1065,e-Invoicing Approver 1065
CP_MACH1_PL_1065,Contract Preparer (1065)
TM_MACH1_PL_1065,Tax Manager (1065)
CR_MACH1_PL_1065_1520,Central Receiver 1065_1520
HM_MACH1_PL_1065_1520,HazMat Approver 1065_1520
PA_MACH1_PL_1065,PreApprovers 1065
